ref,Chargescomprises:,Classeénergie:,Codepostal:,GES:,Loyermensuel:,Meublé/Nonmeublé:,Pièces:,Référence:,Surface:,Typedebien:,Ville:,ref
708831002,,D (de 151 &agrave; 230),35000,,369.0,Non meublé,1,,32 m,Appartement,Rennes,708831002
708825174,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),338.0,Non meublé,1,,18 m,Appartement,Rennes,708825174
708807402,,,35000,,500.0,Non meublé,2,,40 m,Appartement,Rennes,708807402
708807082,,Vierge,35000,Vierge,523.0,Non meublé,1,,38 m,Appartement,Rennes,708807082
708775855,,E (de 231 &agrave; 330),35000,B (de 6 &agrave; 10),500.0,Non meublé,2,,44 m,Appartement,Rennes,708775855
708768467,,D (de 151 &agrave; 230),35000,,565.0,Non meublé,3,,58 m,Appartement,Rennes,708768467
708833034,Oui,,35000,,580.0,Non meublé,2,6191,40 m,Appartement,Rennes,708833034
708707928,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),510.0,Meublé,2,,28 m,Appartement,Rennes,708707928
708680091,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),390.0,Non meublé,1,,18 m,Appartement,Rennes,708680091
705774666,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),520.0,Non meublé,2,,40 m,Appartement,Rennes,705774666
706430918,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),594.0,Non meublé,2,,32 m,Appartement,Rennes,706430918
708667751,,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),490.0,Non meublé,1,,36 m,Appartement,Rennes,708667751
708783696,Oui,E (de 231 &agrave; 330),35000,D (de 21 &agrave; 35),565.0,Non meublé,2,ofw-4960-9721-c,44 m,Appartement,Rennes,708783696
708625225,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),460.0,Non meublé,2,,25 m,Appartement,Rennes,708625225
708619406,,A (moins de 50),35000,A (moins de 5),680.0,Non meublé,3,,63 m,Appartement,Rennes,708619406
708615485,Oui,D (de 151 &agrave; 230),35000,,661.0,Non meublé,2,956131,41 m,Appartement,Rennes,708615485
708587137,,,35000,,820.0,Non meublé,4,,75 m,Appartement,Rennes,708587137
708592480,Oui,C (de 91 &agrave; 150),35000,,542.0,Non meublé,2,969737,34 m,Appartement,Rennes,708592480
702092314,,,35000,,780.0,Non meublé,3,,68 m,Appartement,Rennes,702092314
708578285,,,35000,,350.0,Non meublé,1,,14 m,Appartement,Rennes,708578285
702882752,,,35000,,605.0,Meublé,2,,35 m,Appartement,Rennes,702882752
708573093,Oui,D (de 151 &agrave; 230),35000,,440.0,Non meublé,2,5009,50 m,Appartement,Rennes,708573093
708594705,Oui,E (de 231 &agrave; 330),35000,,540.0,Non meublé,2,4588,,Appartement,Rennes,708594705
708573091,Oui,D (de 151 &agrave; 230),35000,,866.0,Non meublé,5,4841,104 m,Appartement,Rennes,708573091
708594707,Oui,G (de 451 &agrave; 590),35000,,1300.0,Non meublé,4,3418,100 m,Appartement,Rennes,708594707
708602056,Oui,E (de 231 &agrave; 330),35000,,432.0,Non meublé,2,976001,33 m,Appartement,Rennes,708602056
708585334,Oui,D (de 151 &agrave; 230),35000,,560.0,Non meublé,2,988755,38 m,Appartement,Rennes,708585334
708537673,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),605.0,,3,,56 m,Appartement,Rennes,708537673
699537276,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),700.0,Non meublé,3,,65 m,Appartement,Rennes,699537276
708530472,,,35000,,615.0,,2,,54 m,Appartement,Rennes,708530472
708611279,Oui,C (de 91 &agrave; 150),35000,,658.0,Non meublé,3,973101,59 m,Appartement,Rennes,708611279
708556404,Oui,D (de 151 &agrave; 230),35000,,570.0,Non meublé,4,5020,88 m,Appartement,Rennes,708556404
708597329,Oui,D (de 151 &agrave; 230),35000,,644.0,Non meublé,3,969743,66 m,Appartement,Rennes,708597329
708556407,Oui,D (de 151 &agrave; 230),35000,,650.0,Non meublé,4,4585,75 m,Appartement,Rennes,708556407
708517714,Oui,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),668.0,Non meublé,2,g1184-49ab,43 m,Appartement,Rennes,708517714
